ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
0001eeaf4aed83f9,xclick,/m/0cmf2,1,0.022673031,0.9642004999999999,0.07103825,0.80054647,0,0,0,0,0
000595fe6fee6369,xclick,/m/02wbm,1,0.0,1.0,0.0,1.0,0,0,1,0,0
000595fe6fee6369,xclick,/m/02xwb,1,0.1413844,0.179676,0.67627496,0.73170733,0,0,0,0,0
000595fe6fee6369,xclick,/m/02xwb,1,0.21354933,0.25331370000000003,0.29933482,0.35476717,1,0,0,0,0
000595fe6fee6369,xclick,/m/02xwb,1,0.23269513,0.28865978,0.49002218,0.54545456,1,0,0,0,0
000595fe6fee6369,xclick,/m/02xwb,1,0.24594992,0.2916053,0.54767185,0.6053215000000001,1,0,0,0,0
000595fe6fee6369,xclick,/m/02xwb,1,0.24594992,0.29013255,0.6607539000000001,0.7161861999999999,1,0,0,0,0
000595fe6fee6369,xclick,/m/02xwb,1,0.24742268,0.28424153,0.37915742,0.4368071,1,0,0,0,0
000595fe6fee6369,xclick,/m/02xwb,1,0.24742268,0.2945508,0.6075388,0.67405766,1,0,0,0,0


































































